fecha,temperatura,presion,humedad,altura,alta_temperatura,nivel_temperatura
12246.0,26.28,790.2117,24.78223,2048.441,1,3
12369.0,26.27,790.1717,24.77246,2048.848,1,3
12491.0,26.26,790.1381,24.77148,2049.192,1,3
12614.0,26.25,790.1252,24.77441,2049.324,1,3
12736.0,26.23,790.0722,24.74512,2049.863,1,3
12859.0,26.23,790.0451,24.76953,2050.138,1,3
12981.0,26.22,790.08,24.76855,2049.781,1,3
13103.0,26.2,790.0878,24.76172,2049.702,1,3
13225.0,26.19,790.1292,24.76367,2049.281,1,3
13346.0,26.17,790.022,24.75391,2050.373,1,3
13470.0,26.17,790.0697,24.75781,2049.887,1,3
13593.0,26.16,790.0569,24.74707,2050.019,1,3
13714.0,26.13,789.9705,24.74707,2050.899,1,3
13838.0,26.12,790.0931,24.74316,2049.649,1,3
13960.0,26.09,789.9666,24.73145,2050.938,1,3
14083.0,26.08,789.9872,24.72559,2050.727,1,3
14207.0,26.08,790.008,24.73926,2050.516,1,3
14331.0,26.07,790.0015,24.74121,2050.582,1,3
14458.0,26.05,790.0029,24.7334,2050.568,1,3
14580.0,26.04,789.9835,24.64355,2050.767,1,3
14702.0,26.04,789.9835,24.66113,2050.767,1,3
14823.0,26.02,789.9305,24.7207,2051.306,1,3
14945.0,26.0,789.938,24.72363,2051.229,1,3
15066.0,26.01,789.9174,24.73145,2051.438,1,3
15188.0,26.0,789.8503,24.7666,2052.122,1,3
15309.0,25.99,789.9523,24.80762,2051.083,1,3
15431.0,25.98,789.9123,24.69629,2051.49,1,3
15553.0,25.97,789.8245,24.73242,2052.384,1,3
15675.0,25.96,789.778,24.73047,2052.859,1,3
15797.0,25.95,789.7986,24.7334,2052.648,1,3
15919.0,25.94,789.7857,24.73535,2052.78,1,3
16041.0,25.93,789.7664,24.72949,2052.976,1,3
16163.0,25.92,789.7057,24.7334,2053.596,1,3
16285.0,25.91,789.747,24.81934,2053.174,1,3
16406.0,25.9,789.7277,24.60156,2053.372,1,3
16528.0,25.89,789.6671,24.7334,2053.988,1,3
16649.0,25.88,789.7084,24.72852,2053.567,1,3
16771.0,25.86,789.7368,24.72754,2053.279,1,3
16893.0,25.86,789.6219,24.72461,2054.447,1,3
17015.0,25.84,789.6775,24.72949,2053.882,1,3
17136.0,25.84,789.6775,24.75684,2053.882,1,3
17258.0,25.84,789.7589,24.73145,2053.055,1,3
17380.0,25.81,789.7201,24.78809,2053.448,1,3
17502.0,25.8,789.7408,24.73535,2053.237,1,3
17624.0,25.8,789.6594,24.73047,2054.067,1,3
17746.0,25.78,789.6337,24.72949,2054.328,1,3
17867.0,25.77,789.675,24.73145,2053.908,1,3
17988.0,25.77,789.6144,24.73145,2054.527,1,3
18110.0,25.75,789.5949,24.72754,2054.725,1,3
18232.0,25.75,789.5407,24.64551,2055.277,1,3
18353.0,25.73,789.515,24.74316,2055.539,1,3
18474.0,25.72,789.5563,24.72266,2055.118,1,3
18596.0,25.7,789.5576,24.66699,2055.105,1,3
18718.0,25.71,789.5641,24.73047,2055.039,1,3
18840.0,25.69,789.5383,24.72754,2055.301,1,3
18962.0,25.68,789.5047,24.72949,2055.642,1,3
19084.0,25.67,789.5667,24.72949,2055.013,1,3
19206.0,25.65,789.5267,24.73438,2055.42,1,3
19328.0,25.64,789.5135,24.72168,2055.554,1,3
19449.0,25.64,789.5071,24.72168,2055.618,1,3
19570.0,25.64,789.5613,24.72949,2055.065,1,3
19692.0,25.62,789.5419,24.82617,2055.264,1,3
19813.0,25.61,789.5562,24.76074,2055.118,1,3
19935.0,25.61,789.5496,24.72266,2055.184,1,3
20057.0,25.61,789.5833,24.72949,2054.844,1,3
20179.0,25.6,789.5162,24.7373,2055.525,1,3
20301.0,25.59,789.4968,24.74316,2055.723,1,3
20423.0,25.57,789.4775,24.65332,2055.922,1,3
20545.0,25.56,789.4852,24.8457,2055.842,1,3
20667.0,25.55,789.5536,24.73145,2055.145,1,3
20789.0,25.53,789.4464,24.72754,2056.236,1,3
20911.0,25.52,789.3859,24.72949,2056.854,1,3
21032.0,25.51,789.3394,24.72949,2057.327,1,3
21154.0,25.5,789.4348,24.75684,2056.355,1,3
21275.0,25.49,789.4014,24.72754,2056.696,1,3
21397.0,25.48,789.3342,24.72754,2057.38,1,3
21518.0,25.47,789.4504,24.72949,2056.197,1,3
21642.0,25.45,789.3769,24.70801,2056.947,1,3
21763.0,25.45,789.3163,24.78027,2057.563,1,3
21886.0,25.43,789.2903,24.73828,2057.829,1,3
22008.0,25.43,789.3446,24.71387,2057.274,1,3
22130.0,25.41,789.3524,24.76953,2057.195,1,3
22252.0,25.4,789.3395,24.78809,2057.327,1,3
22374.0,25.39,789.2659,24.74023,2058.075,1,3
22496.0,25.38,789.2866,24.74707,2057.866,1,3
22618.0,25.38,789.2802,24.74512,2057.932,1,3
22740.0,25.37,789.3214,24.83008,2057.51,1,3
22862.0,25.36,789.3086,24.74512,2057.642,1,3
22984.0,25.34,789.2957,24.75098,2057.774,1,3
23106.0,25.32,789.324,24.74707,2057.486,1,3
23228.0,25.32,789.3782,24.75,2056.931,1,3
23350.0,25.32,789.3447,24.79883,2057.274,1,3
23471.0,25.3,789.2982,24.75098,2057.747,1,3
23592.0,25.3,789.2919,24.75391,2057.811,1,3
23714.0,25.28,789.2996,24.75977,2057.732,1,3
23836.0,25.28,789.3538,24.76074,2057.182,1,3
23958.0,25.26,789.2941,24.7627,2057.79,1,3
24080.0,25.25,789.3625,24.77051,2057.092,1,3
24203.0,25.25,789.342,24.67871,2057.301,1,3
24324.0,25.23,789.4515,24.71582,2056.186,1,3
24446.0,25.22,789.4593,24.78418,2056.107,1,3
24568.0,25.21,789.3987,24.77441,2056.722,1,3
24690.0,25.21,789.4464,24.78711,2056.239,1,3
24812.0,25.2,789.4877,24.78906,2055.816,1,3
24934.0,25.18,789.4955,24.79199,2055.737,1,3
25056.0,25.17,789.5096,24.79883,2055.594,1,3
25178.0,25.17,789.4554,24.7998,2056.146,1,3
25300.0,25.15,789.538,24.7998,2055.303,1,3
25422.0,25.15,789.4774,24.80176,2055.922,1,3
25544.0,25.14,789.498,24.81055,2055.713,1,3
25666.0,25.12,789.4657,24.73145,2056.041,1,3
25788.0,25.12,789.4928,24.81445,2055.766,1,3
25910.0,25.1,789.4735,24.81934,2055.961,1,3
26032.0,25.09,789.4064,24.82227,2056.646,1,3
26154.0,25.08,789.4412,24.8252,2056.292,1,3
26276.0,25.07,789.4619,24.75488,2056.08,1,3
26398.0,25.06,789.3677,24.83301,2057.039,1,3
26520.0,25.06,789.4696,24.80078,2056.001,1,3
26642.0,25.04,789.4501,24.8418,2056.199,1,3
